scenario,users_per_cohort,day,bps_1nft,bps_3nft,nft_count_1,nft_count_3,effective_stake_1,effective_stake_3,share_1,share_3,reward_per_user_1,reward_per_user_3,cum_reward_per_user_1,cum_reward_per_user_3,raw_stake_1,raw_stake_3,daily_emission,cumulative_emission
B,100,224,6272,17472,224,672,110767.38940828598,340520.0438299536,0.2454475379770007,0.7545524620229993,141.39664403070844,434.6802039837858,67893.78443181708,124066.35603026276,68213.78443181708,124386.35603026276,57607.684801449424,19196014.046207983
B,100,225,6300,17550,225,675,111188.46862386183,342684.4108633739,0.24497711506683845,0.7550228849331616,140.5810517100072,433.2727618253988,68034.36548352709,124499.62879208816,68354.36548352709,124819.62879208816,57385.38135354059,19253399.427561525
B,100,226,6328,17628,226,678,111609.00796150303,344851.6704267812,0.24450957825235456,0.7554904217476454,139.77019855344352,431.86466153039686,68174.13568208052,124931.49345361856,68494.13568208052,125251.49345361856,57163.48600838404,19310562.91356991
B,100,227,6356,17706,227,681,112029.00832161092,347021.7877625956,0.24404490587368627,0.7559550941263138,138.96405418384253,430.455961719985,68313.09973626437,125361.94941533855,68633.09973626437,125681.94941533855,56942.00159038275,19367504.91516029
B,100,228,6384,17784,228,684,112448.47060789554,349194.7282555766,0.24358307646410576,0.7564169235358942,138.16258849090553,429.04672053210896,68451.26232475527,125790.99613587065,68771.26232475527,126110.99613587065,56720.93090230145,19424225.846062593
B,100,229,6412,17862,229,687,112867.39572738834,351370.4574337628,0.24312406874802736,0.7568759312519726,137.36577162711373,427.6369956204144,68588.62809638238,126218.63313149106,68908.62809638238,126538.63313149106,56500.27672475282,19480726.122787345
B,100,230,6440,17940,230,690,113285.78459045265,353548.940969386,0.24266786163903678,0.7573321383609631,136.57357400408685,426.2268441544458,68725.20167038646,126644.85997564551,69045.20167038646,126964.85997564551,56280.04181585327,19537006.1646032
B,100,231,6468,18018,231,693,113703.63811079244,355730.1446797636,0.24221443423794403,0.757785565762056,135.7859662887118,424.81632281896304,68860.98763667517,127069.67629846447,69180.98763667517,127389.67629846447,56060.22891076748,19593066.393513966
B,100,232,6496,18096,232,696,114120.95720545936,357914.0345281658,0.24176376583085843,0.7582362341691415,135.00291939953965,423.4054878139289,68995.99055607471,127493.0817862784,69315.99055607471,127813.0817862784,55840.84072134686,19648907.234235313
B,100,233,6524,18174,233,699,114537.74279485787,360100.5766246608,0.24131583588728614,0.7586841641127139,134.22440450325,421.9943948545492,69130.21496057797,127915.07618113296,69450.21496057797,128235.07618113296,55621.87993577992,19704529.11417109
